,Unnamed: 0,sensor_id,location,lat,lon,timestamp,pressure,temperature,humidity
61,166,2294,1155,42.645,23.265,2017-07-01T00:04:01,92614.8,24.07,43.36
62,167,2230,1121,42.692,23.332,2017-07-01T00:04:02,95064.32,27.68,46.0
63,171,2264,1139,42.67100000000001,23.31,2017-07-01T00:04:08,94754.65,24.82,58.53
64,172,1850,925,42.677,23.311,2017-07-01T00:04:09,94827.88,24.55,58.07
65,176,2234,1123,42.685,23.356,2017-07-01T00:04:16,94912.66,27.57,40.13
66,181,3558,1793,42.67100000000001,23.364,2017-07-01T00:04:22,94809.02,26.83,40.62
67,183,2262,1138,42.691,23.324,2017-07-01T00:04:31,94859.03,26.39,45.41
68,185,1764,879,42.622,23.366,2017-07-01T00:04:35,93919.02,24.48,47.63
69,191,2038,1024,42.694,23.32,2017-07-01T00:04:50,95030.38,29.11,39.41
70,192,3836,1933,42.702,23.371,2017-07-01T00:04:50,95314.48,23.82,54.85
71,194,2323,1172,42.68600000000001,23.4,2017-07-01T00:04:51,95155.15,24.19,51.68
72,201,2266,1140,42.738,23.272,2017-07-01T00:05:00,95258.14,23.37,63.22
73,204,2292,1154,42.663,23.273000000000003,2017-07-01T00:05:01,94350.36,23.01,59.89
74,207,1952,976,42.709,23.398000000000003,2017-07-01T00:05:04,95323.59,22.53,56.76
75,208,3428,1727,42.624,23.406,2017-07-01T00:05:05,94680.37,28.26,40.97
76,210,3096,1558,42.7,23.36,2017-07-01T00:05:06,95151.31,26.6,44.13
77,211,1846,923,42.64,23.31,2017-07-01T00:05:08,93614.87,23.76,50.51
78,213,3472,1750,42.669,23.318,2017-07-01T00:05:10,94326.61,26.12,47.12
79,218,3512,1770,42.683,23.335,2017-07-01T00:05:16,94966.13,24.61,56.35
80,223,2228,1120,42.693000000000005,23.333,2017-07-01T00:05:21,94983.46,26.19,45.88
81,230,3438,1732,42.738,23.293000000000003,2017-07-01T00:05:30,95088.45,24.45,58.63
82,231,1954,977,42.70399999999999,23.354,2017-07-01T00:05:32,95076.02,26.17,44.74
83,233,3092,1556,42.666,23.284,2017-07-01T00:05:38,94533.23,24.21,0.0
84,234,3436,1731,42.693000000000005,23.359,2017-07-01T00:05:39,94938.86,26.62,45.41
85,241,2036,1023,42.657,23.349,2017-07-01T00:05:49,94496.14,23.74,52.81
86,242,1962,981,42.69,23.324,2017-07-01T00:05:49,94933.19,25.96,46.07
87,243,3474,1751,42.68,23.293000000000003,2017-07-01T00:05:51,94618.53,26.69,49.69
88,245,2232,1122,42.685,23.301,2017-07-01T00:06:01,94679.71,25.35,52.46
89,247,2607,1313,42.66,23.319000000000003,2017-07-01T00:06:02,94428.37,24.28,55.13
90,250,3738,1884,42.7,23.332,2017-07-01T00:06:10,95207.16,27.89,41.84
91,252,2224,1118,42.651,23.335,2017-07-01T00:06:14,94440.77,24.98,48.77
92,253,3102,1561,42.665,23.392,2017-07-01T00:06:14,95042.29,25.87,43.62
93,254,2040,1025,42.68600000000001,23.351,2017-07-01T00:06:16,94949.7,25.58,46.81
94,256,3620,1824,42.678,23.254,2017-07-01T00:06:19,94440.3,25.76,56.91
95,261,2216,1114,42.664,23.373,2017-07-01T00:06:22,94776.69,26.29,45.0
96,265,3432,1729,42.71,23.419,2017-07-01T00:06:25,95337.95,24.67,52.97
97,266,2294,1155,42.645,23.265,2017-07-01T00:06:27,92621.75,24.1,44.9
98,268,2230,1121,42.692,23.332,2017-07-01T00:06:28,95062.91,27.69,45.62
99,272,2264,1139,42.67100000000001,23.31,2017-07-01T00:06:34,94747.31,24.81,58.96
100,273,1850,925,42.677,23.311,2017-07-01T00:06:35,94826.73,24.51,58.42
101,275,2234,1123,42.685,23.356,2017-07-01T00:06:41,94917.48,27.83,39.79
102,281,3558,1793,42.67100000000001,23.364,2017-07-01T00:06:49,94804.98,26.83,40.91
103,282,2262,1138,42.691,23.324,2017-07-01T00:06:57,94856.45,26.18,45.77
104,285,1764,879,42.622,23.366,2017-07-01T00:07:02,93922.19,24.45,50.37
105,291,3836,1933,42.702,23.371,2017-07-01T00:07:16,95310.12,23.7,55.52
106,293,2038,1024,42.694,23.32,2017-07-01T00:07:17,95031.27,29.14,39.16
107,294,2323,1172,42.68600000000001,23.4,2017-07-01T00:07:17,95158.77,24.16,51.8
108,302,2266,1140,42.738,23.272,2017-07-01T00:07:26,95267.81,23.23,63.07
109,305,2292,1154,42.663,23.273000000000003,2017-07-01T00:07:27,94349.69,23.16,60.24
110,308,1952,976,42.709,23.398000000000003,2017-07-01T00:07:30,95322.47,22.61,56.3
111,309,3428,1727,42.624,23.406,2017-07-01T00:07:32,94680.44,28.31,40.01
112,312,3096,1558,42.7,23.36,2017-07-01T00:07:34,95149.92,26.6,44.17
113,313,1846,923,42.64,23.31,2017-07-01T00:07:35,93612.95,23.75,50.22
114,316,3472,1750,42.669,23.318,2017-07-01T00:07:39,94324.14,26.35,46.89
115,319,3512,1770,42.683,23.335,2017-07-01T00:07:43,94961.73,24.45,58.13
116,323,2228,1120,42.693000000000005,23.333,2017-07-01T00:07:48,94981.78,26.16,45.9
117,329,3438,1732,42.738,23.293000000000003,2017-07-01T00:07:57,95097.84,24.41,58.05
118,330,1954,977,42.70399999999999,23.354,2017-07-01T00:07:58,95067.36,26.13,44.95
119,332,3092,1556,42.666,23.284,2017-07-01T00:08:04,94531.71,24.27,0.0
120,334,3436,1731,42.693000000000005,23.359,2017-07-01T00:08:08,94935.5,26.56,45.31
121,340,1962,981,42.69,23.324,2017-07-01T00:08:16,94931.66,25.92,46.27
122,341,2036,1023,42.657,23.349,2017-07-01T00:08:17,94505.98,23.65,52.93
